age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
57,1,2,7,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
44,1,2,7,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,10,3,6,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
57,1,2,7,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,2,2,3,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,1,2,7,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,2,2,3,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,1,2,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,4,2,1,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
60,1,2,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
53,1,3,6,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,2,2,1,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,10,2,6,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
50,5,2,7,0,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,8,2,4,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,11,2,6,0,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
25,10,3,7,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
47,3,2,7,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
51,2,2,3,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,2,2,2,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,2,2,2,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
48,1,2,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,1,2,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
44,2,3,3,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
33,1,2,0,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,1,2,3,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
44,2,3,1,0,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,5,2,2,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
44,5,1,7,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
47,1,2,7,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
57,0,2,0,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,1,2,7,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,2,1,1,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,1
55,10,2,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
33,8,2,4,0,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,5,2,0,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,2,2,3,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
50,2,2,1,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
51,2,2,1,0,0,0,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
38,1,2,4,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
49,3,2,7,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,1
38,10,3,7,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
31,1,1,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,5,2,2,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,1,2,7,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
49,10,2,3,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,1
34,1,2,4,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,1,2,7,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
57,0,2,0,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
60,1,2,0,0,1,2,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
33,11,2,3,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,2,2,2,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,8,2,6,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,5,2,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
53,1,1,7,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,10,3,6,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
44,2,2,2,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,8,2,0,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
49,2,2,1,1,1,1,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,8,2,0,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
52,1,1,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
52,1,1,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,8,3,4,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,4,2,2,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,1,2,4,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,3,2,0,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,10,2,0,0,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
60,6,1,7,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
58,11,2,1,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,8,1,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,2,2,3,0,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,5,2,7,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,2,2,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
52,1,1,7,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
57,2,1,0,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,1,2,0,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
48,2,1,1,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,2,2,4,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
49,2,1,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,8,2,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,10,2,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
32,1,2,7,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,1,2,7,1,1,2,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
50,1,2,2,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
31,10,1,6,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,6,2,1,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,10,2,6,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,1
37,2,2,2,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,10,2,6,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,2,2,0,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,2,2,2,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
52,5,2,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,5,1,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,4,2,1,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,2,2,1,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,8,2,4,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,2,2,3,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,1
43,11,3,7,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,5,2,0,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,5,2,7,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
53,2,2,1,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
38,0,1,4,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,2,2,1,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,2,2,1,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,1,3,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,1,2,7,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
51,2,2,1,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
60,2,2,3,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,3,2,0,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,8,1,4,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,3,2,0,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,2,2,0,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,2,2,3,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
51,2,2,0,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
51,2,2,0,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,10,3,6,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
59,8,2,4,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
24,5,3,7,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,2,3,3,0,2,2,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,2,2,3,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,2,2,3,0,1,1,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,8,1,4,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,3,2,2,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
38,8,2,4,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,1,1,0,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,2,2,0,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,5,1,7,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,2,2,4,0,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,8,2,4,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,10,2,7,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,1,3,7,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,8,2,4,1,1,1,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
46,5,2,3,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
44,8,2,4,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
51,1,3,2,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
28,8,2,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,2,2,3,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,10,2,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
46,2,2,2,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,2,2,3,1,2,2,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,1
36,1,2,7,1,2,1,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,2,2,1,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
57,5,2,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
51,10,2,2,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,6,2,4,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
49,2,2,1,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,1,2,7,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,10,2,6,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
38,2,3,3,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,5,1,7,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,10,2,7,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,2,3,3,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
48,2,2,1,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,1,2,4,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,2,3,3,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,1,2,3,0,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,2,2,2,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
33,8,2,4,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
32,8,3,2,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,2,2,4,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,1,2,0,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
44,2,2,3,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,9,3,7,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,9,3,7,0,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,11,2,6,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,8,3,1,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,9,3,7,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,9,3,3,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,4,1,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
59,1,2,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
57,6,2,0,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,2,2,6,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,4,2,1,0,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
30,2,3,0,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
30,2,3,0,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
50,4,2,1,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,8,2,4,1,1,1,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,1,2,4,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,10,2,0,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,8,3,2,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
46,10,2,1,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,10,2,3,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
58,6,2,7,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,10,2,7,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,1,3,7,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,6,2,1,0,1,1,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,2,2,1,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,1,2,6,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
50,8,1,6,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
32,5,1,1,0,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,1,2,4,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
52,7,2,7,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
44,1,2,6,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,2,2,1,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
48,1,2,4,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
33,8,2,4,0,1,2,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,5,2,7,0,1,2,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
57,6,2,4,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,10,3,6,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,5,2,7,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,8,3,3,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
30,10,2,7,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
33,8,1,0,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
32,10,3,6,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,10,3,4,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,2,3,4,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
33,8,3,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,10,1,6,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,2,2,1,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
51,8,2,2,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
36,10,2,6,1,2,1,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
28,8,2,0,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
53,8,2,4,1,2,2,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
58,2,2,3,0,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,5,2,3,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,10,2,0,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
33,1,2,4,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
33,1,2,4,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
27,2,3,2,1,0,0,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,10,2,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
43,1,1,3,1,1,1,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
42,1,2,7,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
27,2,3,2,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,7,3,7,1,2,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
31,9,3,7,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,5,1,7,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,7,2,1,0,1,1,1,5,1,3,0,0,2,1.1,93.994,-36.4,4.857,5191,0
52,11,2,4,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
47,5,1,7,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
49,4,2,3,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
32,1,3,4,1,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
49,4,3,4,0,2,2,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
50,2,2,3,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
